Date (Months),Monthly Rainfall Total (mm),Mean Wind Speed (km/h),Max Wind Speed (km/h),MeanTemperature (°C),MaximumTemperature (°C),MinimumTemperature (°C)
2011-12,284.6,8.170967742,29.96129032,26.59032258,29.87419355,24.53870968
2012-01,106.1,9.083870968,31.97096774,26.70322581,30.55806452,24.31290323
2012-02,83.6,9.889655172,31.65517241,27.13793103,31.13448276,24.75862069
2012-03,313.4,6.864516129,33.02258065,27.01612903,31.06129032,24.44193548
2012-04,260.6,6.38,31.55666667,27.61333333,31.4,24.75333333
2012-05,292,6.996774194,33.58387097,28.17419355,31.70645161,24.78709677
2012-06,53,8.98,32.20333333,28.70333333,31.59333333,26.34333333
2012-07,130.8,9.238709677,34.43548387,27.74193548,30.8,25.3483871
2012-08,119,11.29032258,38.09354839,27.95806452,31.01290323,25.41612903
2012-09,107.6,8.426666667,33.54333333,27.92666667,31.33333333,25.28
2012-10,122.2,6.551612903,29.85806452,27.73548387,31.71290323,25.20645161
